ComID,CodRIP,CodREG,CodPROV,CodCOM,CodUTS,Name,Area (m2),UTM X (m E),UTM Y (m N),Lat (Deg N),Lon (Deg E),EOBS Points
1284,1,7,9,9,9004,Albisola Superiore,2.86E+07,457724.1024,4.91E+06,44.36297148,8.469453945,4
1285,1,7,9,9,9005,Altare,1.17E+07,446858.3938,4.91E+06,44.32394188,8.333536013,4
1286,1,7,9,9,9006,Andora,3.15E+07,429790.1043,4.87E+06,43.98151378,8.124555246,4
1287,1,7,9,9,9007,Arnasco,6.24E+06,428395.4265,4.88E+06,44.08054146,8.105677119,4
1288,1,7,9,9,9008,Balestrino,1.15E+07,433440.073,4.89E+06,44.12409692,8.168072709,4
1289,1,7,9,9,9009,Bardineto,3.00E+07,431307.5293,4.89E+06,44.18953069,8.140468885,4
1290,1,7,9,9,9010,Bergeggi,3.65E+06,455231.1613,4.90E+06,44.24781351,8.439265865,4
1291,1,7,9,9,9011,Boissano,8.27E+06,436793.0918,4.89E+06,44.14771972,8.209666709,4
1292,1,7,9,9,9012,Borghetto Santo Spirito,5.20E+06,438371.9396,4.88E+06,44.11550822,8.229827181,4
1293,1,7,9,9,9013,Borgio Verezzi,2.73E+06,444584.4398,4.89E+06,44.16429133,8.306894883,4
1294,1,7,9,9,9014,Bormida,2.24E+07,438719.739,4.90E+06,44.2673267,8.232205074,4
1295,1,7,9,9,9015,Cairo Montenotte,1.00E+08,445211.6629,4.92E+06,44.40024637,8.311991443,4
1296,1,7,9,9,9016,Calice Ligure,2.02E+07,443031.6139,4.90E+06,44.23228072,8.286653233,4
1297,1,7,9,9,9017,Calizzano,6.30E+07,430127.0139,4.90E+06,44.23995822,8.124950954,4
1298,1,7,9,9,9018,Carcare,1.05E+07,443528.0216,4.91E+06,44.34641657,8.291498352,4
1299,1,7,9,9,9019,Casanova Lerrone,2.39E+07,422716.1218,4.88E+06,44.03250163,8.035524408,4
1300,1,7,9,9,9020,Castelbianco,1.51E+07,426043.2718,4.88E+06,44.11237377,8.075803684,4
1301,1,7,9,9,9021,Castelvecchio di Rocca Barbena,1.61E+07,430109.5647,4.89E+06,44.14576297,8.126125574,4
1302,1,7,9,9,9022,Celle Ligure,9.43E+06,463049.9202,4.91E+06,44.35298884,8.536369573,4
1303,1,7,9,9,9023,Cengio,1.87E+07,436176.9609,4.92E+06,44.39181807,8.198652706,4
1304,1,7,9,9,9024,Ceriale,1.12E+07,436488.8835,4.88E+06,44.09778734,8.206531566,4
1305,1,7,9,9,9025,Cisano sul Neva,1.25E+07,431557.5827,4.88E+06,44.08552917,8.145099714,4
1306,1,7,9,9,9026,Cosseria,1.23E+07,439767.0299,4.91E+06,44.37404797,8.243957466,4
1307,1,7,9,9,9027,Dego,6.77E+07,444340.9623,4.92E+06,44.45210098,8.300439366,5
1308,1,7,9,9,9028,Erli,1.68E+07,427085.1922,4.89E+06,44.14590699,8.088308241,4
1309,1,7,9,9,9029,Finale Ligure,3.51E+07,447472.7064,4.89E+06,44.1887322,8.342748131,4
1310,1,7,9,9,9030,Garlenda,7.61E+06,427546.6595,4.88E+06,44.02813028,8.095874095,4
